Player_ID,Season,mu_hs,mu_hl,mu_hS,mu_sh,mu_ls,mu_hs_estimate,mu_hl_estimate,mu_hS_estimate,mu_sh_estimate,mu_ls_estimate,mu_hs_approx,mu_hl_approx,mu_hS_approx,mu_sh_approx,mu_ls_approx
1451,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1452,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1453,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1453,2018,0,0.006652293527123117,NA,0.20709137774266465,0.06370294013606569,0,0.006622516556291391,NA,0.125,0.06666666666666667,0,0.014388737452099556,0,0.6931471805599453,0.2231435513142097
1453,2019,0,0.9999999999999996,NA,0.9999999999999996,0.9999999999999993,0,0.023809523809523808,NA,0.125,0.125,0,0.056089466651043585,0,0.6931471805599453,0.5596157879354228
1453,2020,0,NA,0.015871267085548865,0,NA,0,NA,0.015151515151515152,0,NA,0,0,0.03636764417087483,0,NA
1453,2021,0,NA,0.9999999999999163,0,NA,0,NA,0.011111111111111112,0,NA,0,0,0.027398974188114388,0,NA
1453,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1454,2017,0,0,NA,0.9999999999820955,0.9999999999819833,0,0,NA,0.3333333333333333,0.034482758620689655,0,0,0,0.6931471805599453,0.2231435513142097
1454,2018,0.021214523517851847,NA,NA,0.4562596379684483,NA,0.012738853503184714,NA,NA,0.17647058823529413,NA,0.028573372444056,0,0,1.3862943611198906,NA
1455,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1456,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1456,2018,NA,NA,NA,NA,NA,0.016666666666666666,0.008333333333333333,NA,0.23529411764705882,0.030303030303030304,0.04348511193973878,0.02150620522096362,0,0.8472978603872036,0.13353139262452263
1456,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1456,2022,NA,NA,NA,NA,NA,0.03225806451612903,NA,0.016129032258064516,0.2222222222222222,NA,0.07145896398214498,0,0.03509131981127006,0.6931471805599453,NA
